RNG_test using PractRand version 0.93
RNG = RNG_stdin, seed = 0x99dc689f
test set = normal, folding = standard(unknown format)

rng=RNG_stdin, seed=0x99dc689f
length= 128 megabytes (2^27 bytes), time= 2.4 seconds
  Test Name                         Raw       Processed     Evaluation
  FPF-14+6/16:(4,14-0)              R=  -0.3  p = 0.576     normal           
  FPF-14+6/16:(5,14-1)              R=  +0.7  p = 0.320     normal           
  FPF-14+6/16:(6,14-2)              R=  +0.3  p = 0.413     normal           
  FPF-14+6/16:(7,14-2)              R=  +0.2  p = 0.451     normal           
  FPF-14+6/16:(8,14-3)              R=  +2.0  p = 0.080     normal           
  FPF-14+6/16:(9,14-4)              R=  -0.5  p = 0.632     normal           
  FPF-14+6/16:(10,14-5)             R=  -0.3  p = 0.572     normal           
  FPF-14+6/16:(11,14-5)             R=  +0.1  p = 0.479     normal           
  FPF-14+6/16:(12,14-6)             R=  -0.8  p = 0.699     normal           
  FPF-14+6/16:(13,14-7)             R=  +0.0  p = 0.476     normal           
  FPF-14+6/16:(14,14-8)             R=  -0.4  p = 0.580     normal           
  FPF-14+6/16:(15,14-8)             R=  -1.7  p = 0.900     normal           
  FPF-14+6/16:(16,14-9)             R=  +0.2  p = 0.426     normal           
  FPF-14+6/16:(17,14-10)            R=  +0.6  p = 0.299     normal           
  FPF-14+6/16:(18,14-11)            R=  -0.4  p = 0.540     normal           
  FPF-14+6/16:(19,14-11)            R=  -1.9  p = 0.961     normal           
  FPF-14+6/16:all                   R=  +0.4  p = 0.393     normal           
  FPF-14+6/16:all2                  R=  -0.8  p = 0.798     normal           
  FPF-14+6/16:cross                 R=  -1.1  p = 0.874     normal           
  BRank(12):128(4)                  R=  -1.4  p~= 0.890     normal           
  BRank(12):256(4)                  R=  -0.1  p~= 0.490     normal           
  BRank(12):384(1)                  R=  -0.7  p~= 0.689     normal           
  BRank(12):512(2)                  R=  -0.2  p~= 0.554     normal           
  BRank(12):768(1)                  R=  +0.4  p~= 0.366     normal           
  BRank(12):1K(2)                   R=  -0.2  p~= 0.554     normal           
  BRank(12):1536(1)                 R=  +0.4  p~= 0.366     normal           
  BRank(12):2K(1)                   R=  -0.7  p~= 0.689     normal           
  [Low1/8]BCFN(2+0,13-3,T)          R=  +1.7  p = 0.237     normal           
  [Low1/8]BCFN(2+1,13-3,T)          R=  -2.8  p = 0.881     normal           
  [Low1/8]BCFN(2+2,13-4,T)          R=  +2.2  p = 0.180     normal           
  [Low1/8]BCFN(2+3,13-4,T)          R=  -2.5  p = 0.855     normal           
  [Low1/8]BCFN(2+4,13-5,T)          R=  -2.4  p = 0.842     normal           
  [Low1/8]BCFN(2+5,13-5,T)          R=  +0.2  p = 0.433     normal           
  [Low1/8]BCFN(2+6,13-6,T)          R=  -1.6  p = 0.727     normal           
  [Low1/8]BCFN(2+7,13-6,T)          R=  -1.6  p = 0.730     normal           
  [Low1/8]BCFN(2+8,13-7,T)          R=  -0.6  p = 0.552     normal           
  [Low1/8]BCFN(2+9,13-8,T)          R=  -0.1  p = 0.451     normal           
  [Low1/8]BCFN(2+10,13-8,T)         R=  -0.8  p = 0.579     normal           
  [Low1/8]BCFN(2+11,13-9,T)         R=  -2.2  p = 0.885     normal           
  [Low1/8]BCFN(2+12,13-9,T)         R=  -1.2  p = 0.672     normal           
  [Low1/8]DC6-9x1Bytes-1            R=  +0.7  p = 0.518     normal           
  [Low1/8]Gap-16:A                  R=  -1.1  p = 0.873     normal           
  [Low1/8]Gap-16:B                  R=  -0.3  p = 0.575     normal           
  [Low1/8]FPF-14+6/16:(0,14-0)      R=  -0.5  p = 0.640     normal           
  [Low1/8]FPF-14+6/16:(1,14-0)      R=  +1.0  p = 0.254     normal           
  [Low1/8]FPF-14+6/16:(2,14-1)      R=  +0.4  p = 0.405     normal           
  [Low1/8]FPF-14+6/16:(3,14-2)      R=  -1.9  p = 0.910     normal           
  [Low1/8]FPF-14+6/16:(4,14-2)      R=  +0.1  p = 0.476     normal           
  [Low1/8]FPF-14+6/16:(5,14-3)      R=  +0.8  p = 0.285     normal           
  [Low1/8]FPF-14+6/16:(6,14-4)      R=  +2.5  p = 0.042     normal           
  [Low1/8]FPF-14+6/16:(7,14-5)      R=  -1.9  p = 0.916     normal           
  [Low1/8]FPF-14+6/16:(8,14-5)      R=  -0.3  p = 0.583     normal           
  [Low1/8]FPF-14+6/16:(9,14-6)      R=  +0.3  p = 0.406     normal           
  [Low1/8]FPF-14+6/16:(10,14-7)     R=  +3.1  p = 0.020     normal           
  [Low1/8]FPF-14+6/16:(11,14-8)     R=  +2.1  p = 0.077     normal           
  [Low1/8]FPF-14+6/16:(12,14-8)     R=  +0.6  p = 0.323     normal           
  [Low1/8]FPF-14+6/16:(13,14-9)     R=  +2.4  p = 0.057     normal           
  [Low1/8]FPF-14+6/16:(14,14-10)    R=  -1.1  p = 0.781     normal           
  [Low1/8]FPF-14+6/16:(15,14-11)    R=  +1.7  p = 0.124     normal           
  [Low1/8]FPF-14+6/16:(16,14-11)    R=  -0.4  p = 0.555     normal           
  [Low1/8]FPF-14+6/16:all           R=  +0.4  p = 0.394     normal           
  [Low1/8]FPF-14+6/16:all2          R=  +0.0  p = 0.391     normal           
  [Low1/8]FPF-14+6/16:cross         R=  -0.5  p = 0.658     normal           
  [Low1/8]BRank(12):128(4)          R=  -0.1  p~= 0.490     normal           
  [Low1/8]BRank(12):256(2)          R=  +0.8  p~= 0.293     normal           
  [Low1/8]BRank(12):384(1)          R=  +1.8  p~= 0.146     normal           
  [Low1/8]BRank(12):512(2)          R=  -0.2  p~= 0.554     normal           
  [Low1/8]BRank(12):768(1)          R=  +1.8  p~= 0.146     normal           
  [Low1/8]BRank(12):1K(1)           R=  -0.7  p~= 0.689     normal           
  [Low4/32]BCFN(2+0,13-3,T)         R=  +2.5  p = 0.151     normal           
  [Low4/32]BCFN(2+1,13-3,T)         R=  +0.7  p = 0.369     normal           
  [Low4/32]BCFN(2+2,13-4,T)         R=  +4.1  p = 0.056     normal           
  [Low4/32]BCFN(2+3,13-4,T)         R=  +0.1  p = 0.457     normal           
  [Low4/32]BCFN(2+4,13-5,T)         R=  -0.2  p = 0.505     normal           
  [Low4/32]BCFN(2+5,13-5,T)         R=  -3.1  p = 0.908     normal           
  [Low4/32]BCFN(2+6,13-6,T)         R=  -3.3  p = 0.933     normal           
  [Low4/32]BCFN(2+7,13-6,T)         R=  -1.2  p = 0.669     normal           
  [Low4/32]BCFN(2+8,13-7,T)         R=  +2.0  p = 0.179     normal           
  [Low4/32]BCFN(2+9,13-8,T)         R=  -2.6  p = 0.898     normal           
  [Low4/32]BCFN(2+10,13-8,T)        R=  +0.3  p = 0.380     normal           
  [Low4/32]BCFN(2+11,13-9,T)        R=  -0.5  p = 0.516     normal           
  [Low4/32]BCFN(2+12,13-9,T)        R=  +0.5  p = 0.333     normal           
  [Low4/32]DC6-9x1Bytes-1           R=  +2.4  p = 0.204     normal           
  [Low4/32]Gap-16:A                 R=  +0.0  p = 0.640     normal           
  [Low4/32]Gap-16:B                 R=  +0.9  p = 0.258     normal           
  [Low4/32]FPF-14+6/16:(0,14-0)     R=  +0.9  p = 0.268     normal           
  [Low4/32]FPF-14+6/16:(1,14-0)     R=  +1.4  p = 0.173     normal           
  [Low4/32]FPF-14+6/16:(2,14-1)     R=  +0.1  p = 0.475     normal           
  [Low4/32]FPF-14+6/16:(3,14-2)     R=  -1.1  p = 0.794     normal           
  [Low4/32]FPF-14+6/16:(4,14-2)     R=  -1.0  p = 0.764     normal           
  [Low4/32]FPF-14+6/16:(5,14-3)     R=  -2.3  p = 0.950     normal           
  [Low4/32]FPF-14+6/16:(6,14-4)     R=  +1.3  p = 0.179     normal           
  [Low4/32]FPF-14+6/16:(7,14-5)     R=  -4.0  p =1-1.2e-3   normal           
  [Low4/32]FPF-14+6/16:(8,14-5)     R=  +0.1  p = 0.471     normal           
  [Low4/32]FPF-14+6/16:(9,14-6)     R=  -2.1  p = 0.940     normal           
  [Low4/32]FPF-14+6/16:(10,14-7)    R=  -2.2  p = 0.952     normal           
  [Low4/32]FPF-14+6/16:(11,14-8)    R=  +0.8  p = 0.268     normal           
  [Low4/32]FPF-14+6/16:(12,14-8)    R=  -0.1  p = 0.494     normal           
  [Low4/32]FPF-14+6/16:(13,14-9)    R=  +0.4  p = 0.353     normal           
  [Low4/32]FPF-14+6/16:(14,14-10)   R=  -0.1  p = 0.476     normal           
  [Low4/32]FPF-14+6/16:(15,14-11)   R=  -1.4  p = 0.846     normal           
  [Low4/32]FPF-14+6/16:(16,14-11)   R=  -0.4  p = 0.543     normal           
  [Low4/32]FPF-14+6/16:all          R=  -0.3  p = 0.598     normal           
  [Low4/32]FPF-14+6/16:all2         R=  +1.2  p = 0.105     normal           
  [Low4/32]FPF-14+6/16:cross        R=  -0.2  p = 0.525     normal           
  [Low4/32]BRank(12):128(4)         R=  -0.8  p~= 0.670     normal           
  [Low4/32]BRank(12):256(2)         R=  -1.0  p~= 0.744     normal           
  [Low4/32]BRank(12):384(1)         R=  -0.7  p~= 0.689     normal           
  [Low4/32]BRank(12):512(2)         R=  -0.2  p~= 0.554     normal           
  [Low4/32]BRank(12):768(1)         R=  -0.7  p~= 0.689     normal           
  [Low4/32]BRank(12):1K(1)          R=  -0.7  p~= 0.689     normal           
  [Low1/32]BCFN(2+0,13-5,T)         R=  +2.4  p = 0.158     normal           
  [Low1/32]BCFN(2+1,13-5,T)         R=  +1.6  p = 0.243     normal           
  [Low1/32]BCFN(2+2,13-5,T)         R=  -1.0  p = 0.635     normal           
  [Low1/32]BCFN(2+3,13-5,T)         R=  -4.0  p = 0.964     normal           
  [Low1/32]BCFN(2+4,13-6,T)         R=  +1.3  p = 0.270     normal           
  [Low1/32]BCFN(2+5,13-6,T)         R=  +2.9  p = 0.116     normal           
  [Low1/32]BCFN(2+6,13-7,T)         R=  +3.4  p = 0.086     normal           
  [Low1/32]BCFN(2+7,13-8,T)         R=  -3.2  p = 0.958     normal           
  [Low1/32]BCFN(2+8,13-8,T)         R=  -2.2  p = 0.848     normal           
  [Low1/32]BCFN(2+9,13-9,T)         R=  -0.5  p = 0.512     normal           
  [Low1/32]BCFN(2+10,13-9,T)        R=  -0.5  p = 0.510     normal           
  [Low1/32]DC6-9x1Bytes-1           R=  -3.3  p = 0.983     normal           
  [Low1/32]Gap-16:A                 R=  +1.1  p = 0.360     normal           
  [Low1/32]Gap-16:B                 R=  +1.3  p = 0.177     normal           
  [Low1/32]FPF-14+6/16:(0,14-1)     R=  -1.2  p = 0.806     normal           
  [Low1/32]FPF-14+6/16:(1,14-2)     R=  +1.3  p = 0.186     normal           
  [Low1/32]FPF-14+6/16:(2,14-2)     R=  +0.8  p = 0.299     normal           
  [Low1/32]FPF-14+6/16:(3,14-3)     R=  +0.4  p = 0.396     normal           
  [Low1/32]FPF-14+6/16:(4,14-4)     R=  -0.5  p = 0.645     normal           
  [Low1/32]FPF-14+6/16:(5,14-5)     R=  -0.5  p = 0.646     normal           
  [Low1/32]FPF-14+6/16:(6,14-5)     R=  -0.4  p = 0.599     normal           
  [Low1/32]FPF-14+6/16:(7,14-6)     R=  -1.4  p = 0.846     normal           
  [Low1/32]FPF-14+6/16:(8,14-7)     R=  -2.3  p = 0.960     normal           
  [Low1/32]FPF-14+6/16:(9,14-8)     R=  -0.8  p = 0.713     normal           
  [Low1/32]FPF-14+6/16:(10,14-8)    R=  +1.9  p = 0.098     normal           
  [Low1/32]FPF-14+6/16:(11,14-9)    R=  +0.4  p = 0.359     normal           
  [Low1/32]FPF-14+6/16:(12,14-10)   R=  -2.0  p = 0.955     normal           
  [Low1/32]FPF-14+6/16:(13,14-11)   R=  +1.0  p = 0.211     normal           
  [Low1/32]FPF-14+6/16:(14,14-11)   R=  -0.6  p = 0.609     normal           
  [Low1/32]FPF-14+6/16:all          R=  -0.3  p = 0.591     normal           
  [Low1/32]FPF-14+6/16:all2         R=  -0.6  p = 0.686     normal           
  [Low1/32]FPF-14+6/16:cross        R=  -0.9  p = 0.824     normal           
  [Low1/32]BRank(12):128(4)         R=  +0.4  p~= 0.340     normal           
  [Low1/32]BRank(12):256(2)         R=  -0.2  p~= 0.554     normal           
  [Low1/32]BRank(12):384(1)         R=  +0.4  p~= 0.366     normal           
  [Low1/32]BRank(12):512(2)         R=  +0.6  p~= 0.322     normal           
  [Low1/32]BRank(12):768(1)         R=  -0.7  p~= 0.689     normal           

rng=RNG_stdin, seed=0x99dc689f
length= 1 gigabyte (2^30 bytes), time= 20.7 seconds
  Test Name                         Raw       Processed     Evaluation
  BCFN(2+0,13-1,T)                  R=  +2.4  p = 0.163     normal           
  BCFN(2+1,13-1,T)                  R=  +0.7  p = 0.388     normal           
  BCFN(2+2,13-1,T)                  R=  +0.6  p = 0.399     normal           
  BCFN(2+3,13-1,T)                  R=  +2.8  p = 0.129     normal           
  BCFN(2+4,13-2,T)                  R=  +1.3  p = 0.289     normal           
  BCFN(2+5,13-3,T)                  R=  +2.0  p = 0.206     normal           
  BCFN(2+6,13-3,T)                  R=  -0.2  p = 0.511     normal           
  BCFN(2+7,13-4,T)                  R=  +1.9  p = 0.216     normal           
  BCFN(2+8,13-5,T)                  R=  +0.2  p = 0.437     normal           
  BCFN(2+9,13-5,T)                  R=  +1.2  p = 0.297     normal           
  BCFN(2+10,13-6,T)                 R=  +1.0  p = 0.312     normal           
  BCFN(2+11,13-6,T)                 R=  -1.9  p = 0.775     normal           
  BCFN(2+12,13-7,T)                 R=  -1.7  p = 0.748     normal           
  BCFN(2+13,13-8,T)                 R=  -1.0  p = 0.621     normal           
  BCFN(2+14,13-8,T)                 R=  -1.9  p = 0.801     normal           
  BCFN(2+15,13-9,T)                 R=  +1.3  p = 0.225     normal           
  BCFN(2+16,13-9,T)                 R=  -0.2  p = 0.449     normal           
  DC6-9x1Bytes-1                    R=  +1.3  p = 0.332     normal           
  Gap-16:A                          R=  -2.3  p = 0.972     normal           
  Gap-16:B                          R=  -0.6  p = 0.666     normal           
  FPF-14+6/16:(0,14-0)              R=  -1.5  p = 0.865     normal           
  FPF-14+6/16:(1,14-0)              R=  +0.2  p = 0.434     normal           
  FPF-14+6/16:(2,14-0)              R=  +0.1  p = 0.464     normal           
  FPF-14+6/16:(3,14-0)              R=  +0.3  p = 0.424     normal           
  FPF-14+6/16:(4,14-0)              R=  +1.2  p = 0.193     normal           
  FPF-14+6/16:(5,14-0)              R=  -1.6  p = 0.877     normal           
  FPF-14+6/16:(6,14-1)              R=  +1.9  p = 0.099     normal           
  FPF-14+6/16:(7,14-2)              R=  -1.6  p = 0.879     normal           
  FPF-14+6/16:(8,14-2)              R=  +0.4  p = 0.401     normal           
  FPF-14+6/16:(9,14-3)              R=  +1.3  p = 0.185     normal           
  FPF-14+6/16:(10,14-4)             R=  +0.6  p = 0.331     normal           
  FPF-14+6/16:(11,14-5)             R=  -1.6  p = 0.875     normal           
  FPF-14+6/16:(12,14-5)             R=  -0.9  p = 0.729     normal           
  FPF-14+6/16:(13,14-6)             R=  -0.2  p = 0.548     normal           
  FPF-14+6/16:(14,14-7)             R=  -1.0  p = 0.757     normal           
  FPF-14+6/16:(15,14-8)             R=  -0.6  p = 0.653     normal           
  FPF-14+6/16:(16,14-8)             R=  -1.7  p = 0.896     normal           
  FPF-14+6/16:(17,14-9)             R=  -1.5  p = 0.860     normal           
  FPF-14+6/16:(18,14-10)            R=  +0.2  p = 0.398     normal           
  FPF-14+6/16:(19,14-11)            R=  -0.4  p = 0.561     normal           
  FPF-14+6/16:(20,14-11)            R=  -1.9  p = 0.959     normal           
  FPF-14+6/16:all                   R=  -0.2  p = 0.576     normal           
  FPF-14+6/16:all2                  R=  -0.9  p = 0.832     normal           
  FPF-14+6/16:cross                 R=  +0.6  p = 0.256     normal           
  BRank(12):128(8)                  R=  -0.7  p~= 0.670     normal           
  BRank(12):256(4)                  R=  -0.1  p~= 0.490     normal           
  BRank(12):384(1)                  R=  -0.7  p~= 0.689     normal           
  BRank(12):512(4)                  R=  +1.0  p~= 0.180     normal           
  BRank(12):768(1)                  R=  +0.4  p~= 0.366     normal           
  BRank(12):1K(2)                   R=  -0.2  p~= 0.554     normal           
  BRank(12):1536(1)                 R=  +0.4  p~= 0.366     normal           
  BRank(12):2K(2)                   R=  +0.8  p~= 0.293     normal           
  BRank(12):3K(1)                   R=  -0.7  p~= 0.689     normal           
  [Low1/8]BCFN(2+0,13-3,T)          R=  +4.4  p = 0.042     normal           
  [Low1/8]BCFN(2+1,13-3,T)          R=  +0.3  p = 0.440     normal           
  [Low1/8]BCFN(2+2,13-3,T)          R=  +1.5  p = 0.266     normal           
  [Low1/8]BCFN(2+3,13-3,T)          R=  +2.7  p = 0.138     normal           
  [Low1/8]BCFN(2+4,13-4,T)          R=  -3.0  p = 0.901     normal           
  [Low1/8]BCFN(2+5,13-5,T)          R=  -1.1  p = 0.655     normal           
  [Low1/8]BCFN(2+6,13-5,T)          R=  +4.0  p = 0.060     normal           
  [Low1/8]BCFN(2+7,13-6,T)          R=  -1.0  p = 0.630     normal           
  [Low1/8]BCFN(2+8,13-6,T)          R=  +2.5  p = 0.151     normal           
  [Low1/8]BCFN(2+9,13-7,T)          R=  -0.1  p = 0.462     normal           
  [Low1/8]BCFN(2+10,13-8,T)         R=  -0.7  p = 0.558     normal           
  [Low1/8]BCFN(2+11,13-8,T)         R=  -0.6  p = 0.542     normal           
  [Low1/8]BCFN(2+12,13-9,T)         R=  -1.6  p = 0.750     normal           
  [Low1/8]BCFN(2+13,13-9,T)         R=  -1.4  p = 0.699     normal           
  [Low1/8]DC6-9x1Bytes-1            R=  -2.3  p = 0.942     normal           
  [Low1/8]Gap-16:A                  R=  +0.6  p = 0.492     normal           
  [Low1/8]Gap-16:B                  R=  -0.6  p = 0.668     normal           
  [Low1/8]FPF-14+6/16:(0,14-0)      R=  +0.6  p = 0.326     normal           
  [Low1/8]FPF-14+6/16:(1,14-0)      R=  +0.6  p = 0.333     normal           
  [Low1/8]FPF-14+6/16:(2,14-0)      R=  +1.7  p = 0.114     normal           
  [Low1/8]FPF-14+6/16:(3,14-1)      R=  +0.2  p = 0.452     normal           
  [Low1/8]FPF-14+6/16:(4,14-2)      R=  -0.9  p = 0.739     normal           
  [Low1/8]FPF-14+6/16:(5,14-2)      R=  +2.6  p = 0.034     normal           
  [Low1/8]FPF-14+6/16:(6,14-3)      R=  -1.1  p = 0.793     normal           
  [Low1/8]FPF-14+6/16:(7,14-4)      R=  -0.4  p = 0.607     normal           
  [Low1/8]FPF-14+6/16:(8,14-5)      R=  +2.3  p = 0.054     normal           
  [Low1/8]FPF-14+6/16:(9,14-5)      R=  -0.1  p = 0.534     normal           
  [Low1/8]FPF-14+6/16:(10,14-6)     R=  +0.3  p = 0.413     normal           
  [Low1/8]FPF-14+6/16:(11,14-7)     R=  -1.2  p = 0.804     normal           
  [Low1/8]FPF-14+6/16:(12,14-8)     R=  -0.2  p = 0.537     normal           
  [Low1/8]FPF-14+6/16:(13,14-8)     R=  +0.2  p = 0.413     normal           
  [Low1/8]FPF-14+6/16:(14,14-9)     R=  +1.6  p = 0.128     normal           
  [Low1/8]FPF-14+6/16:(15,14-10)    R=  +0.3  p = 0.384     normal           
  [Low1/8]FPF-14+6/16:(16,14-11)    R=  -0.6  p = 0.605     normal           
  [Low1/8]FPF-14+6/16:(17,14-11)    R=  -2.0  p = 0.968     normal           
  [Low1/8]FPF-14+6/16:all           R=  +1.8  p = 0.112     normal           
  [Low1/8]FPF-14+6/16:all2          R=  -0.5  p = 0.643     normal           
  [Low1/8]FPF-14+6/16:cross         R=  -1.0  p = 0.854     normal           
  [Low1/8]BRank(12):128(4)          R=  -0.1  p~= 0.490     normal           
  [Low1/8]BRank(12):256(4)          R=  +1.1  p~= 0.110     normal           
  [Low1/8]BRank(12):384(1)          R=  +1.8  p~= 0.146     normal           
  [Low1/8]BRank(12):512(2)          R=  -0.2  p~= 0.554     normal           
  [Low1/8]BRank(12):768(1)          R=  +1.8  p~= 0.146     normal           
  [Low1/8]BRank(12):1K(2)           R=  -0.2  p~= 0.554     normal           
  [Low1/8]BRank(12):1536(1)         R=  +0.4  p~= 0.366     normal           
  [Low4/32]BCFN(2+0,13-3,T)         R=  +4.5  p = 0.038     normal           
  [Low4/32]BCFN(2+1,13-3,T)         R=  -0.1  p = 0.500     normal           
  [Low4/32]BCFN(2+2,13-3,T)         R=  +4.2  p = 0.049     normal           
  [Low4/32]BCFN(2+3,13-3,T)         R=  -2.3  p = 0.822     normal           
  [Low4/32]BCFN(2+4,13-4,T)         R=  -0.5  p = 0.567     normal           
  [Low4/32]BCFN(2+5,13-5,T)         R=  -3.6  p = 0.946     normal           
  [Low4/32]BCFN(2+6,13-5,T)         R=  -4.8  p = 0.988     normal           
  [Low4/32]BCFN(2+7,13-6,T)         R=  +0.1  p = 0.442     normal           
  [Low4/32]BCFN(2+8,13-6,T)         R=  +2.2  p = 0.177     normal           
  [Low4/32]BCFN(2+9,13-7,T)         R=  -1.2  p = 0.661     normal           
  [Low4/32]BCFN(2+10,13-8,T)        R=  -0.7  p = 0.555     normal           
  [Low4/32]BCFN(2+11,13-8,T)        R=  -0.8  p = 0.590     normal           
  [Low4/32]BCFN(2+12,13-9,T)        R=  -1.9  p = 0.806     normal           
  [Low4/32]BCFN(2+13,13-9,T)        R=  -0.6  p = 0.533     normal           
  [Low4/32]DC6-9x1Bytes-1           R=  +3.0  p = 0.107     normal           
  [Low4/32]Gap-16:A                 R=  +0.5  p = 0.510     normal           
  [Low4/32]Gap-16:B                 R=  +0.2  p = 0.444     normal           
  [Low4/32]FPF-14+6/16:(0,14-0)     R=  +0.2  p = 0.438     normal           
  [Low4/32]FPF-14+6/16:(1,14-0)     R=  +1.0  p = 0.238     normal           
  [Low4/32]FPF-14+6/16:(2,14-0)     R=  +1.6  p = 0.139     normal           
  [Low4/32]FPF-14+6/16:(3,14-1)     R=  -3.1  p = 0.986     normal           
  [Low4/32]FPF-14+6/16:(4,14-2)     R=  -0.8  p = 0.706     normal           
  [Low4/32]FPF-14+6/16:(5,14-2)     R=  -1.0  p = 0.762     normal           
  [Low4/32]FPF-14+6/16:(6,14-3)     R=  +2.5  p = 0.040     normal           
  [Low4/32]FPF-14+6/16:(7,14-4)     R=  -2.0  p = 0.925     normal           
  [Low4/32]FPF-14+6/16:(8,14-5)     R=  -0.4  p = 0.619     normal           
  [Low4/32]FPF-14+6/16:(9,14-5)     R=  -1.6  p = 0.876     normal           
  [Low4/32]FPF-14+6/16:(10,14-6)    R=  +0.5  p = 0.355     normal           
  [Low4/32]FPF-14+6/16:(11,14-7)    R=  +3.0  p = 0.024     normal           
  [Low4/32]FPF-14+6/16:(12,14-8)    R=  -1.4  p = 0.837     normal           
  [Low4/32]FPF-14+6/16:(13,14-8)    R=  -1.3  p = 0.823     normal           
  [Low4/32]FPF-14+6/16:(14,14-9)    R=  -0.3  p = 0.568     normal           
  [Low4/32]FPF-14+6/16:(15,14-10)   R=  -0.1  p = 0.469     normal           
  [Low4/32]FPF-14+6/16:(16,14-11)   R=  -1.1  p = 0.767     normal           
  [Low4/32]FPF-14+6/16:(17,14-11)   R=  -1.5  p = 0.891     normal           
  [Low4/32]FPF-14+6/16:all          R=  -0.0  p = 0.521     normal           
  [Low4/32]FPF-14+6/16:all2         R=  +0.3  p = 0.290     normal           
  [Low4/32]FPF-14+6/16:cross        R=  -0.4  p = 0.607     normal           
  [Low4/32]BRank(12):128(4)         R=  -0.8  p~= 0.670     normal           
  [Low4/32]BRank(12):256(4)         R=  -0.8  p~= 0.670     normal           
  [Low4/32]BRank(12):384(1)         R=  -0.7  p~= 0.689     normal           
  [Low4/32]BRank(12):512(2)         R=  -0.2  p~= 0.554     normal           
  [Low4/32]BRank(12):768(1)         R=  -0.7  p~= 0.689     normal           
  [Low4/32]BRank(12):1K(2)          R=  +0.8  p~= 0.293     normal           
  [Low4/32]BRank(12):1536(1)        R=  +1.8  p~= 0.146     normal           
  [Low1/32]BCFN(2+0,13-4,T)         R=  +0.3  p = 0.440     normal           
  [Low1/32]BCFN(2+1,13-4,T)         R=  +1.5  p = 0.264     normal           
  [Low1/32]BCFN(2+2,13-5,T)         R=  +1.1  p = 0.307     normal           
  [Low1/32]BCFN(2+3,13-5,T)         R=  -0.7  p = 0.588     normal           
  [Low1/32]BCFN(2+4,13-5,T)         R=  +4.8  p = 0.035     normal           
  [Low1/32]BCFN(2+5,13-6,T)         R=  +4.0  p = 0.063     normal           
  [Low1/32]BCFN(2+6,13-6,T)         R=  -0.1  p = 0.488     normal           
  [Low1/32]BCFN(2+7,13-7,T)         R=  -1.8  p = 0.763     normal           
  [Low1/32]BCFN(2+8,13-8,T)         R=  -2.1  p = 0.832     normal           
  [Low1/32]BCFN(2+9,13-8,T)         R=  -2.1  p = 0.822     normal           
  [Low1/32]BCFN(2+10,13-9,T)        R=  -1.5  p = 0.741     normal           
  [Low1/32]BCFN(2+11,13-9,T)        R=  -2.2  p = 0.876     normal           
  [Low1/32]DC6-9x1Bytes-1           R=  -0.8  p = 0.789     normal           
  [Low1/32]Gap-16:A                 R=  -0.6  p = 0.798     normal           
  [Low1/32]Gap-16:B                 R=  +0.6  p = 0.335     normal           
  [Low1/32]FPF-14+6/16:(0,14-0)     R=  -0.3  p = 0.594     normal           
  [Low1/32]FPF-14+6/16:(1,14-1)     R=  -1.6  p = 0.875     normal           
  [Low1/32]FPF-14+6/16:(2,14-2)     R=  +1.1  p = 0.217     normal           
  [Low1/32]FPF-14+6/16:(3,14-2)     R=  +1.3  p = 0.178     normal           
  [Low1/32]FPF-14+6/16:(4,14-3)     R=  +1.7  p = 0.122     normal           
  [Low1/32]FPF-14+6/16:(5,14-4)     R=  -2.0  p = 0.930     normal           
  [Low1/32]FPF-14+6/16:(6,14-5)     R=  -0.4  p = 0.621     normal           
  [Low1/32]FPF-14+6/16:(7,14-5)     R=  -1.5  p = 0.860     normal           
  [Low1/32]FPF-14+6/16:(8,14-6)     R=  -1.8  p = 0.907     normal           
  [Low1/32]FPF-14+6/16:(9,14-7)     R=  +3.7  p =  8.8e-3   normal           
  [Low1/32]FPF-14+6/16:(10,14-8)    R=  +3.9  p =  7.3e-3   normal           
  [Low1/32]FPF-14+6/16:(11,14-8)    R=  -1.6  p = 0.885     normal           
  [Low1/32]FPF-14+6/16:(12,14-9)    R=  -2.3  p = 0.964     normal           
  [Low1/32]FPF-14+6/16:(13,14-10)   R=  +2.4  p = 0.060     normal           
  [Low1/32]FPF-14+6/16:(14,14-11)   R=  -1.3  p = 0.840     normal           
  [Low1/32]FPF-14+6/16:(15,14-11)   R=  -0.9  p = 0.723     normal           
  [Low1/32]FPF-14+6/16:all          R=  -0.2  p = 0.572     normal           
  [Low1/32]FPF-14+6/16:all2         R=  +1.8  p = 0.058     normal           
  [Low1/32]FPF-14+6/16:cross        R=  -1.3  p = 0.928     normal           
  [Low1/32]BRank(12):128(4)         R=  +0.4  p~= 0.340     normal           
  [Low1/32]BRank(12):256(2)         R=  -0.2  p~= 0.554     normal           
  [Low1/32]BRank(12):384(1)         R=  +0.4  p~= 0.366     normal           
  [Low1/32]BRank(12):512(2)         R=  +0.6  p~= 0.322     normal           
  [Low1/32]BRank(12):768(1)         R=  -0.7  p~= 0.689     normal           
  [Low1/32]BRank(12):1K(1)          R=  -0.7  p~= 0.689     normal           

